Number_Of_Points,Running_Time_In_Microseconds
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,2
12,2
13,2
14,10
15,10
16,3
17,2
18,13
19,3
20,9
21,9
22,4
23,6
24,12
25,5
26,15
27,6
28,8
29,7
30,20
31,11
32,10
33,11
34,23
35,31
36,14
37,13
38,23
39,17
40,18
41,17
42,19
43,22
44,23
45,30
46,41
47,42
48,30
49,40
50,43
51,41
52,31
53,33
54,42
55,39
56,42
57,56
58,46
59,50
60,52
61,54
62,65
63,58
64,66
65,66
66,66
67,72
68,75
69,82
70,90
71,90
72,81
73,85
74,87
75,94
76,101
77,109
78,112
79,139
80,121
81,115
82,136
83,125
84,160
85,149
86,146
87,146
88,170
89,166
90,185
91,173
92,169
93,175
94,190
95,202
96,201
97,198
98,208
99,240
100,215
101,241
102,228
103,237
104,249
105,251
106,256
107,282
108,281
109,281
110,316
111,301
112,316
113,324
114,322
115,335
116,346
117,365
118,368
119,374
120,389
121,418
122,414
123,442
124,431
125,439
126,442
127,455
128,478
129,483
130,509
131,504
132,518
133,535
134,560
135,577
136,572
137,598
138,588
139,601
140,617
141,663
142,652
143,654
144,683
145,698
146,713
147,737
148,744
149,766
150,767
151,799
152,822
153,829
154,842
155,896
156,875
157,893
158,920
159,1063
160,1080
161,972
162,986
163,1028
164,1024
165,1052
166,1103
167,1094
168,1138
169,1171
170,1146
171,1243
172,1194
173,1225
174,1264
175,1320
176,1282
177,1320
178,1321
179,1345
180,1372
181,1416
182,1438
183,1464
184,1467
185,1542
186,1545
187,1552
188,1645
189,1622
190,1648
191,1673
192,1729
193,1817
194,1777
195,1803
196,1831
197,1944
198,1936
199,1932
200,1942
201,1970
202,2012
203,2143
204,2140
205,2150
206,2162
207,2170
208,2214
209,2280
210,2330
211,2319
212,2362
213,2377
214,2402
215,2453
216,2491
217,2556
218,2662
219,2624
220,2671
221,2750
222,2715
223,2779
224,2790
225,2845
226,2952
227,2973
228,2954
229,3040
230,3036
231,3170
232,3114
233,3175
234,3305
235,3379
236,3298
237,3425
238,3400
239,3508
240,3504
241,3539
242,3603
243,3681
244,3735
245,4231
246,4384
247,5019
248,5078
249,5170
250,5157
251,4576
252,4616
